latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.75,112.25,222.0,0,GMT,GMT

time,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),shortwave_radiation (W/m²),shortwave_radiation_instant (W/m²),wind_speed_10m (km/h),wind_direction_10m (°)
2024-12-31T00:00,-1.9,0.00,63,11.0,19.3,4.8,318
2024-12-31T00:15,-1.8,0.00,62,39.0,50.5,4.8,318
2024-12-31T00:30,-1.8,0.00,61,79.0,93.3,4.8,318
2024-12-31T00:45,-1.6,0.00,59,121.0,136.5,4.6,315
2024-12-31T01:00,-1.3,0.00,58,162.0,177.9,4.6,315
2024-12-31T01:15,-0.8,0.00,56,201.0,216.7,4.6,315
2024-12-31T01:30,-0.1,0.00,55,239.0,254.3,4.1,315
2024-12-31T01:45,0.7,0.00,52,279.0,293.9,4.1,315
2024-12-31T02:00,1.5,0.00,50,317.0,331.2,3.6,315
2024-12-31T02:15,2.3,0.00,47,352.0,365.4,3.1,315
2024-12-31T02:30,3.3,0.00,43,385.0,397.4,2.3,321
2024-12-31T02:45,4.2,0.00,40,415.0,426.2,1.3,326
2024-12-31T03:00,5.0,0.00,36,443.0,453.0,0.7,360
2024-12-31T03:15,5.7,0.00,32,467.0,475.6,0.5,45
2024-12-31T03:30,6.4,0.00,29,488.0,495.2,0.7,90
2024-12-31T03:45,7.0,0.00,26,505.0,510.7,1.1,90
2024-12-31T04:00,7.5,0.00,23,519.0,523.2,1.5,104
2024-12-31T04:15,7.9,0.00,22,528.0,530.6,1.5,104
2024-12-31T04:30,8.3,0.00,21,533.0,534.0,1.9,112
2024-12-31T04:45,8.6,0.00,20,534.0,533.4,1.9,112
2024-12-31T05:00,9.0,0.00,20,531.0,528.7,2.1,121
2024-12-31T05:15,9.4,0.00,19,525.0,521.1,2.8,130
2024-12-31T05:30,10.0,0.00,19,513.0,507.6,3.8,139
2024-12-31T05:45,10.5,0.00,18,499.0,492.1,4.9,144
2024-12-31T06:00,10.8,0.00,18,481.0,472.6,5.7,145
2024-12-31T06:15,11.0,0.00,18,458.0,448.2,6.3,149
2024-12-31T06:30,11.2,0.00,18,433.0,421.9,6.8,148
2024-12-31T06:45,11.2,0.00,18,404.0,391.8,7.1,150
2024-12-31T07:00,11.3,0.00,18,371.0,357.7,7.4,151
2024-12-31T07:15,11.3,0.00,18,336.0,321.9,7.7,152
2024-12-31T07:30,11.3,0.00,18,298.0,283.2,8.0,153
2024-12-31T07:45,11.3,0.00,19,258.0,242.8,8.0,153
2024-12-31T08:00,11.2,0.00,19,218.0,202.5,8.0,153
2024-12-31T08:15,11.1,0.00,19,177.0,161.5,7.7,152
2024-12-31T08:30,11.0,0.00,20,135.0,120.0,6.9,152
2024-12-31T08:45,10.8,0.00,21,92.0,78.3,6.3,149
2024-12-31T09:00,10.5,0.00,22,52.0,40.5,5.5,148
2024-12-31T09:15,10.2,0.00,25,20.0,11.8,4.4,145
2024-12-31T09:30,9.8,0.00,28,3.0,0.0,3.3,139
2024-12-31T09:45,9.5,0.00,31,0.0,0.0,2.1,121
2024-12-31T10:00,9.1,0.00,33,0.0,0.0,1.4,90
2024-12-31T10:15,8.9,0.00,33,0.0,0.0,1.5,45
2024-12-31T10:30,8.7,0.00,31,0.0,0.0,2.4,27
2024-12-31T10:45,8.4,0.00,30,0.0,0.0,3.0,14
2024-12-31T11:00,8.1,0.00,29,0.0,0.0,3.6,6
2024-12-31T11:15,7.7,0.00,29,0.0,0.0,4.0,360
2024-12-31T11:30,7.2,0.00,30,0.0,0.0,4.0,355
2024-12-31T11:45,6.6,0.00,32,0.0,0.0,3.8,343
2024-12-31T12:00,6.1,0.00,33,0.0,0.0,3.9,338
2024-12-31T12:15,5.5,0.00,35,0.0,0.0,4.0,333
2024-12-31T12:30,5.0,0.00,37,0.0,0.0,4.4,325
2024-12-31T12:45,4.4,0.00,39,0.0,0.0,4.3,318
2024-12-31T13:00,3.9,0.00,41,0.0,0.0,4.6,315
2024-12-31T13:15,3.4,0.00,43,0.0,0.0,4.8,312
2024-12-31T13:30,2.9,0.00,45,0.0,0.0,4.9,306
2024-12-31T13:45,2.5,0.00,46,0.0,0.0,4.9,306
2024-12-31T14:00,2.1,0.00,48,0.0,0.0,5.2,304
2024-12-31T14:15,1.8,0.00,50,0.0,0.0,5.2,304
2024-12-31T14:30,1.4,0.00,51,0.0,0.0,5.5,302
2024-12-31T14:45,1.1,0.00,53,0.0,0.0,5.5,302
2024-12-31T15:00,0.8,0.00,54,0.0,0.0,5.5,302
2024-12-31T15:15,0.6,0.00,55,0.0,0.0,5.5,302
2024-12-31T15:30,0.4,0.00,56,0.0,0.0,5.8,300
2024-12-31T15:45,0.2,0.00,56,0.0,0.0,5.8,300
2024-12-31T16:00,0.0,0.00,57,0.0,0.0,5.8,300
2024-12-31T16:15,-0.1,0.00,58,0.0,0.0,5.8,300
2024-12-31T16:30,-0.3,0.00,58,0.0,0.0,5.6,297
2024-12-31T16:45,-0.4,0.00,59,0.0,0.0,5.5,293
2024-12-31T17:00,-0.5,0.00,59,0.0,0.0,5.5,293
2024-12-31T17:15,-0.5,0.00,58,0.0,0.0,5.5,293
2024-12-31T17:30,-0.5,0.00,57,0.0,0.0,5.5,293
